40598|1491|Letters to Dead Authors
44178|1497|The Republic
22195|1500|King Henry VI, Part 1
28233|1506|The Two Noble Kinsmen
23923|1536|Timon of Athens
26854|1537|Pericles, Prince of Tyre
22938|1538|Cymbeline
49616|1542|The Two Noble Kinsmen
55653|1544|The Passionate Pilgrim
49143|1545|Mucedorus
17644|1549|Commentary on the Epistle to the Galatians
20920|1553|The Hidden Masterpiece
21854|1554|Adieu
19966|1562|Little Rivers: A Book of Essays in Profitable Idleness
26439|1563|The Crystal Stopper
17809|1571|Critias
51037|1573|Frank's Campaign; Or, The Farm and the Camp
50102|1574|Historic Girls: Stories Of Girls Who Have Influenced The History Of Their Times
50390|1580|Charmides
17902|1585|The Wrong Box
50754|1587|The Black Robe
25869|1590|The Amazing Interlude
20528|1591|Protagoras
20840|1598|Euthydemus
48142|1602|Dawn O'Hara: The Girl Who Laughed
42086|1604|The Ebb-Tide: A Trio And Quartette
48621|1605|The Crock of Gold
6491|1606|Kenilworth
1140|1607|A Journey in Other Worlds: A Romance of the Future
36637|1614|The Golden Fleece: A Romance
33812|1615|Old English libraries : the making, collection, and use of books during the Middle Ages
32033|1623|The New Magdalen
32325|1624|The Two Destinies
46693|1633|The Brick Moon, and Other Stories
43106|1635|Ion
36288|1640|Lilith: A Romance
30235|1646|Roads of Destiny
34171|1649|Ferragus, Chief of the Dévorants
44803|1656|Apology
40385|1657|Crito
46254|1658|Phaedo
39680|1659|The Girl with the Golden Eyes
39842|1661|The Adventures of Sherlock Holmes
31629|1677|Alcibiades II
35551|1678|An Historical Mystery (The Gondreville Mystery)
34673|1682|Menexenus
35148|1685|The Mystery of the Yellow Room
45197|1694|Our Legal Heritage: The First Thousand Years: 600 - 1600 King Aethelbert - Queen Elizabeth
39933|1695|The Man Who Was Thursday: A Nightmare
24000|1704|Pierrette
26824|1705|A History of Science — Volume 1
10048|1711|Child of Storm
52187|1712|The Rescue: A Romance of the Shallows
51898|1715|Eugenie Grandet
52929|1724|Finished
28739|1733|The Red Cross Girl
28261|1734|The Secret Places of the Heart
22505|1735|Sophist
50171|1746|New Collected Rhymes
26465|1751|Twilight Land
26085|1756|Uncle Vanya: Scenes from Country Life in Four Acts
21434|1759|The Black-Bearded Barbarian : The Life of George Leslie Mackay of Formosa
20989|1761|My Buried Treasure
20089|1768|King Richard III
25729|1769|The Comedy of Errors
18260|1775|King John
55672|1776|King Richard II
18542|1781|The Merry Wives of Windsor
49734|1784|King Henry V
21550|1792|Measure for Measure
21275|1795|Macbeth
40687|1802|King Henry VIII
45135|1803|Wyoming: A Story of the Outdoor West
41500|1805|The Gentle Grafter
9408|1809|Bucky O'Connor: A Tale of the Unfenced Border
35998|1815|The Boys' Life of Abraham Lincoln
34239|1823|The Make-Believe Man
46188|1832|The Case of the Lamp That Went Out
39601|1833|The Case of the Registered Letter
40125|1834|The Case of the Pocket Diary Found in the Snow
45785|1835|The Case of the Pool of Blood in the Pastor's Study
38495|1848|Montezuma's Daughter
13|1855|Ban and Arriere Ban: A Rally of Fugitive Rhymes
46463|1866|North America — Volume 2
43508|1867|The Diary of a Goose Girl
48245|1868|Penelope's Postscripts
42495|1869|The Man in Lower Ten
38346|1870|Reginald in Russia, and Other Sketches
32713|1871|The Deputy of Arcis
32247|1876|The Shape of Fear
38930|1877|A Mountain Woman
38986|1883|The Wife, and Other Stories
46645|1892|Extracts from Adam's Diary, translated from the original ms.
42923|1894|Visit to Iceland and the Scandinavian North
47049|1895|Armadale
25775|1903|Everybody's Guide to Money Matters With a description of the various investments chiefly dealt in on the stock exchange, and the mode of dealing therein
26179|1904|The Life and Perambulations of a Mouse
54236|1915|The Second Thoughts of an Idle Fellow
18119|1916|The Great Stone Face, and Other Tales of the White Mountains
49409|1922|Deirdre of the Sorrows
55580|1924|Many Voices: Poems
20693|1934|Songs of Innocence and of Experience
58156|1941|Letters of Two Brides
57572|1946|On War
27204|1950|A Woman of Thirty
27970|1957|Beatrix
22167|1958|Hermann and Dorothea
28666|1959|The Crown of Thorns: A Token for the Sorrowing
22921|1960|Sight Unseen
28517|1961|Books and Bookmen
22455|1967|The Brotherhood of Consolation
27635|1968|The Human Comedy: Introductions and Appendix
52654|1971|Erewhon Revisited Twenty Years Later, Both by the Original Discoverer of the Country and by His Son
56264|1977|Phaedra
58052|1979|The Perdue Chicken Cookbook
56445|1983|Monsieur Beaucaire
29161|1992|Travels in England during the reign of Queen Elizabeth; with Fragmenta regalia or, Observations on Queen Elizabeth, her times and favourites
31326|2006|A Fair Penitent
35477|2009|The Origin of Species by Means of Natural Selection Or, the Preservation of Favoured Races in the Struggle for Life, 6th Edition
2663|2013|The Pit-Prop Syndicate
46173|2016|The 1998 CIA World Factbook
45020|2018|The Library
40795|2019|The Bat
44231|2020|Tarzan the Terrible
44704|2027|Tartuffe; Or, The Hypocrite
46312|2029|Lahoma
29612|2030|Legends of Babylon and Egypt in Relation to Hebrew Tradition
35640|2036|Eight Years' Wanderings in Ceylon
34355|2038|The Lock and Key Library: Classic Mystery and Detective Stories: Modern English
46945|2042|Something New
43199|2044|The Education of Henry Adams
47327|2045|My Memories of Eighty Years
6284|2048|The Sketch-Book of Geoffrey Crayon
38679|2053|The American Republic: Its Constitution, Tendencies, and Destiny
