book_id,gutenberg_id,title,pattern
33701,923,"A Sketch of the Life of Brig. Gen. Francis Marion and a History of His Brigade",section1
33136,924,"To Be Read at Dusk",section1
37273,925,"United States Presidents' Inaugural Speeches: From Washington to George W. Bush",section1
73257,926,"Ten Thousand Dreams Interpreted; Or, What's in a Dream A Scientific and Practical Exposition",file_named
890,931,"The Bab Ballads",section1
48732,933,"More Bab Ballads",section1
48067,934,"Songs of a Savoyard",section1
42676,935,"Self Help; with Illustrations of Conduct and Perseverance",section1
34642,940,"The Last of the Mohicans; A narrative of 1757",section1
31317,941,"Just Folks",section1
31035,946,"Lady Susan",section1
35120,947,"The Life of Horatio, Lord Nelson",section1
29282,948,"Ethics — Part 3",section1
36121,949,"Tom Swift and His Submarine Boat; Or, Under the Ocean for Sunken Treasure",section1
39210,950,"Tom Swift and His Electric Runabout; Or, The Speediest Car on the Road",section1
46166,951,"Tom Swift and His Sky Racer; Or, The Quickest Flight on Record",section1
8837,952,"Tom Swift and His Air Glider; Or, Seeking the Platinum Treasure",end_marker
3231,953,"Tom Swift and His Big Tunnel; Or, The Hidden City of the Andes",end_marker
2677,954,"Tom Swift and His War Tank; Or, Doing His Bit for Uncle Sam",end_marker
9205,955,"The Patchwork Girl of Oz",end_marker
39964,957,"The Scarecrow of Oz",section1
44546,958,"Rinkitink in Oz Wherein Is Recorded the Perilous Quest of Prince Inga of Pingaree and King Rinkitink in the Magical Isles That Lie Beyond the Borderland of Oz",section1
40641,961,"Glinda of Oz In Which Are Related the Exciting Experiences of Princess Ozma of Oz, and Dorothy, in Their Hazardous Journey to the Home of the Flatheads, and to the Magic Isle of the Skeezers, and How They Were Rescued from Dire Peril by the Sorcery of Glinda the Good",section1
4572,962,"The Poems of Henry Kendall With Biographical Note by Bertram Stevens",end_marker
7469,963,"Little Dorrit",section1
8128,964,"The Merry Adventures of Robin Hood",end_marker
40912,966,"Maid Marian",section1
44220,967,"Nicholas Nickleby",section1
40251,968,"Martin Chuzzlewit",section1
45658,969,"The Tenant of Wildfell Hall",section1
30353,970,"Uncle Josh's Punkin Centre Stories",section1
35656,971,"Ethics — Part 4",section1
77473,975,"Ethics — Part 5",end_marker
36601,976,"Tanglewood Tales",section1
29605,977,"American Notes",section1
34828,978,"The Yates Pride: A Romance",section1
30598,979,"Heroes of the Telegraph",section1
36315,982,"The Book of Nonsense",section1
29699,983,"Tour through the Eastern Counties of England, 1722",section1
30264,984,"Who Was Who: 5000 B. C. to Date Biographical Dictionary of the Famous and Those Who Wanted to Be",section1
35943,985,"Father Sergius",section1
71191,987,"The Scientific Monthly, October to December, 1915",file_named
41195,992,"A Theological-Political Treatise [Part IV]",section1
44127,993,"Malbone: An Oldport Romance",section1
44775,994,"Riders to the Sea",section1
4288,996,"Don Quixote",section1
44870,1000,"La Divina Commedia di Dante: Complete",section1
40447,1001,"Divine Comedy, Longfellow's Translation, Hell",section1
7935,1004,"Divine Comedy, Longfellow's Translation, Complete",section1
41101,1006,"Divine Comedy, Cary's Translation, Purgatory",section1
44031,1007,"Divine Comedy, Cary's Translation, Paradise",section1
40130,1008,"Divine Comedy, Cary's Translation, Complete",section1
45778,1009,"La Divina Commedia di Dante: Inferno",section1
30174,1010,"La Divina Commedia di Dante: Purgatorio",section1
35843,1011,"La Divina Commedia di Dante: Paradiso",section1
78031,1012,"La Divina Commedia di Dante",end_marker
77292,1015,"The Oregon Trail: Sketches of Prairie and Rocky-Mountain Life",end_marker
36417,1016,"On the Improvement of the Understanding",section1
29791,1017,"The Soul of Man under Socialism",section1
34942,1018,"The Water-Babies",section1
30486,1019,"Poems by Currer, Ellis, and Acton Bell",section1
34464,1020,"Sword Blades and Poppy Seed",section1
31503,1021,"The Congo, and Other Poems",section1
72985,1025,"Essays; Political, Economical, and Philosophical — Volume 1",file_named
35297,1027,"The Lone Star Ranger: A Romance of the Border",section1
29397,1028,"The Professor",section1
36004,1029,"The Night-Born",section1
39398,1030,"The Cavalier Songs and Ballads of England from 1642 to 1684",section1
